Start,,,,,,,,
0.15,0.145,0.115,,,,,,
0.04,0.04,0.04,0.125,0.175,0.125,0.035,,
0.2099999,0.2149999,0.04,0.04,,,,,
0.14,0.135,0.13,0.13,0.13,,,,
0.04,0.04,0.2199999,0.04,0.04,,,,
0.2149999,0.2349999,0.2199999,,,,,,
0.175,0.16,0.14,0.125,0.13,0.135,0.145,,
0.105,0.04,0.06,0.06,,,,,
0.04,0.2099999,0.2449999,0.115,0.105,,,,
0.09500001,0.09500001,0.2149999,0.2149999,,,,,
0.2300003,0.05000033,0.04000033,0.04500033,,,,,
0.2399999,0.2349999,0.14,0.08000001,,,,,
0.04,0.04,0.155,0.3049999,0.2449999,0.2149999,0.165,0.055,
0.15,0.15,0.165,0.16,0.2599999,,,,
0.15,0.2149999,0.195,0.15,,,,,
0.13,0.135,0.135,0.14,0.145,0.14,,,
0.04,0.2,0.19,0.18,0.2349999,0.2649999,0.2649999,,
0.2549999,0.2099999,0.145,0.11,0.165,0.115,0.045,,
0.11,0.11,0.155,0.145,0.175,,,,
0.065,0.115,0.165,,,,,,
0.13,0.13,0.13,0.13,0.13,,,,
0.09000001,0.12,0.175,0.19,0.15,0.115,,,
0.12,0.11,0.11,0.2699999,0.2849999,0.3149998,0.16,0.12,
0.2,0.2,0.2999999,,,,,,
0.2649999,0.18,0.06,0.02000001,0.02000001,,,,
0.3099999,0.2349999,0.2349999,0.2349999,0.2349999,0.2349999,0.2349999,,
0.3049999,0.2949999,0.195,0.19,,,,,
0.2799999,0.2799999,0.145,0.145,0.145,0.145,,,
0.16,0.16,0.2199999,0.15,0.15,0.2399999,,,
0.185,0.04,0.04,0.04,0.04,0.165,0.165,0.165,0.165
0.2499999,0.2349999,0.2549999,0.2599999,0.2399999,,,,
0.18,0.17,0.15,0.12,0.12,0.11,0.105,0.09000001,0.05
0.2699999,0.2299999,0.195,0.2199999,0.2299999,,,,
0.2749999,0.2799999,0.16,0.16,0.16,0.16,0.16,0.16,0.16
0.2999999,0.3049999,0.2499999,0.2199999,0.2199999,0.2199999,,,
0.2749999,0.2249999,0.185,0.06,0.08500001,0.2699999,,,
0.18,0.18,0.035,0.04,0.2,0.2,0.2,,
0.15,0.115,0.1,0.11,0.165,0.185,0.165,,
