Start,,,,,,,
0.115,0.115,0.115,,,,,
0.205,0.14,0.135,,,,,
0.2449999,0.155,0.15,,,,,
0.2499999,0.2499999,0.16,0.16,0.145,,,
0.165,0.09500001,0.14,0.19,,,,
0.17,0.13,0.12,0.2549999,,,,
0.12,0.12,0.2499999,0.2499999,0.2499999,,,
0.04,0.04,0.04,0.04,0.18,,,
0.2249999,0.09000001,0.09000001,0.09000001,,,,
0.175,0.07,0.05,0.045,0.04,0.04,,
0.2149999,0.2149999,0.14,0.14,0.09500001,0.105,0.09500001,0.09000001
0.2199999,0.13,0.13,0.13,0.13,,,
0.175,0.175,0.175,0.175,0.175,,,
0.04,0.04,0.04,0.04,0.13,0.2449999,,
0.04,0.04,0.04,0.04,0.2549999,0.04,0.04,0.04
0.125,0.13,0.135,0.14,0.19,0.19,0.18,
0.14,0.145,0.15,0.2599999,0.2549999,0.075,,
0.04,0.13,0.2299999,0.11,0.105,,,
0.04,0.04,0.04,0.2149999,,,,
0.2849999,0.055,0.055,0.055,0.055,0.055,,
0.195,0.165,0.05,0.05,0.05,,,
0.2749999,0.2099999,0.08500001,0.06,0.06,0.06,0.06,
0.2199999,0.2199999,0.2199999,0.2199999,0.2199999,,,
0.035,0.035,0.035,0.035,0.035,,,
0.2099999,0.2099999,0.2099999,0.08000001,0.04,,,
0.2149999,0.2149999,0.2149999,0.11,0.11,,,
0.2499999,0.1,0.045,0.045,0.065,0.065,0.07,
0.2299999,0.2249999,0.05999999,0.04,0.04,0.04,,
0.2099999,0.2099999,0.06,0.055,0.055,,,
0.04,0.04,0.2449999,0.2449999,0.04,,,
0.2499999,0.2499999,0.09500001,0.1,,,,
0.175,0.135,0.045,0.045,0.045,0.045,,
0.04,0.04,0.04,0.04,0.2,0.19,,
0.145,0.105,0.04,0.04,0.04,,,
0.2349999,0.115,0.175,,,,,
0.04,0.14,0.18,0.04,0.04,0.04,,
0.09500001,0.1,0.1,0.08500001,0.2599999,0.2249999,0.09500001,
0.165,0.165,0.165,0.165,0.165,0.09500001,,
