left_length,right_length,left_angle,right_angle,width,height,Gx,Gy
120.0,120.0,45.0,90.0,5.529998,3.5,0.2557681252961426,1.5077405716632037
60.0,120.0,45.0,0.0,6.134997500000001,1.67000168,-0.2082195072570221,0.748831976515243
0.0,120.0,45.0,0.0,6.194997,3.5649999999999995,-0.13867903984686528,2.2385076606121816
120.0,60.0,45.0,90.0,2.6300005,5.4200230000000005,0.26206020987620765,2.58570650192302
120.0,120.0,45.0,45.0,6.629997,2.825001,-0.06595425314054099,1.2231482685658914
60.0,60.0,45.0,45.0,3.4300005000000002,3.45,-0.22000705004187782,1.7058392314526107
60.0,120.0,90.0,0.0,4.9049985,3.3499999999999996,-0.34860617802434385,1.525855299342887
0.0,60.0,45.0,0.0,5.269998500000001,2.2650014,0.03415828854948048,1.067905971453602
120.0,60.0,45.0,45.0,5.249998,3.5,0.08027016655951807,1.6317568666910451
60.0,60.0,90.0,0.0,4.534999,3.5,0.2908700510347916,1.724852366750261
120.0,120.0,90.0,0.0,3.8449995,3.79,0.07946646588341813,1.6523742212685784
60.0,60.0,90.0,45.0,2.19000125,6.2700225,-0.12427830243116111,2.9644621728872806
120.0,0.0,90.0,45.0,3.8049995,4.479999,0.1833648773688501,2.250655948720618
60.0,60.0,45.0,0.0,5.549998,2.170001,-0.04794082445430033,1.1610803055636763
120.0,120.0,90.0,90.0,2.6150005,4.134999499999999,0.17111442967186663,1.903897461811481
60.0,60.0,90.0,90.0,1.9250015,5.7850165,-0.05359959004280334,2.8057059236618103
0.0,60.0,45.0,45.0,3.5199999999999996,3.2550004999999995,-0.15648776141987733,1.715514755692321
0.0,120.0,45.0,45.0,3.36,4.7800095,-0.19969567139035743,2.45429825603857
120.0,120.0,45.0,0.0,7.1150009999999995,2.2850012,0.2762665806432726,0.9906217720482714
120.0,60.0,45.0,0.0,5.394998500000001,2.13000125,0.1654427224298774,1.062381993542259
60.0,60.0,0.0,0.0,5.5449980000000005,1.9600012999999998,0.07392773627773731,0.9436668461741363
120.0,60.0,90.0,0.0,3.1100005,4.1799990000000005,0.017407733421643076,1.9459749524426357
120.0,60.0,0.0,0.0,7.259996,2.430001,-0.007907085427648453,0.9575585291415478
60.0,0.0,90.0,45.0,2.7000009999999994,5.2900005,-0.005460927186282602,2.8598791930728527
0.0,0.0,45.0,45.0,2.31000135,3.375,0.01397730475637193,1.678227011519267
120.0,60.0,90.0,45.0,3.2250005,5.25500725,0.07232487282473236,2.476485294064296
120.0,120.0,0.0,0.0,7.439996000000001,2.0300012499999998,-0.03066765810745851,0.9370731147823477
60.0,120.0,90.0,90.0,2.11000135,6.1250155,-0.09207917504302701,3.085221816837166
120.0,120.0,90.0,45.0,5.529998,3.5,-0.2557681252961426,1.5077405716632037
120.0,60.0,0.0,45.0,6.134997500000001,1.67000168,0.2082195072570221,0.748831976515243
120.0,0.0,0.0,45.0,6.194997,3.5649999999999995,0.13867903984686536,2.2385076606121816
60.0,120.0,90.0,45.0,2.6300005,5.4200230000000005,-0.2620602098762077,2.58570650192302
120.0,60.0,0.0,90.0,4.9049985,3.3499999999999996,0.3486061780243438,1.525855299342887
60.0,0.0,0.0,45.0,5.269998500000001,2.2650014,-0.03415828854948042,1.067905971453602
