Start,,,,,
0.18,0.135,0.09500001,0.05,0.08000001,0.07
0.195,0.18,,,,
0.115,0.045,0.045,,,
0.135,0.135,,,,
0.04,,,,,
0.115,,,,,
0.145,0.145,,,,
0.04,0.04,,,,
0.12,0.12,,,,
0.12,0.12,0.06499999,,,
0.1,0.04999999,,,,
0.04,0.05999999,0.04999999,,,
0.165,0.055,0.055,0.05,,
0.2849999,,,,,
0.04,0.04,0.04,0.04,,
0.145,0.04,0.04,,,
0.19,0.19,,,,
0.2449999,0.07,,,,
0.2149999,0.2149999,,,,
0.04,0.04,0.115,,,
0.2599999,0.04,0.04,,,
0.1,0.035,0.035,0.035,,
0.2599999,0.04,,,,
0.2249999,0.06,0.06,,,
0.105,0.175,,,,
0.2949999,0.08000001,,,,
0.2649999,,,,,
0.2099999,0.03,0.03,,,
0.135,0.05,0.05,0.05,,
0.2549999,0.04999999,0.04999999,,,
0.2699999,,,,,
0.04,0.04,0.045,0.13,,
0.2199999,0.04,0.04499999,,,
0.2299999,0.06,0.06,,,
0.04,0.04,0.04,0.075,,
0.185,0.11,0.065,,,
0.08000001,0.04,0.04,0.04,,
0.3349998,,,,,
