Start,,,,,,
0.075,0.08000001,0.075,0.08000001,0.08000001,,
0.08500001,0.075,0.075,0.075,,,
0.09500001,0.09500001,0.09500001,0.09500001,0.09500001,0.09500001,
0.125,0.125,0.125,0.125,0.13,0.13,
0.11,0.11,0.11,0.11,,,
0.09000001,0.09000001,0.09000001,0.09000001,0.09000001,,
0.115,0.115,0.115,0.115,0.115,,
0.125,0.125,0.125,0.125,0.125,,
0.14,0.14,0.14,0.14,0.14,,
0.09500001,0.09500001,0.08500001,0.08500001,0.08500001,0.08500001,
0.09500001,0.09500001,0.09500001,0.09500001,0.09500001,0.09500001,
0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.14,0.14,0.14,0.14,0.14,0.14,
0.08500001,0.08500001,0.08500001,0.08500001,0.08500001,0.08500001,
0.1,0.1,0.1,0.125,0.125,,
0.145,0.145,0.15,0.105,0.105,0.105,
0.08000001,0.17,0.175,0.17,0.16,0.165,
0.135,0.14,0.205,0.2,0.185,0.18,
0.165,0.165,0.17,0.145,0.14,0.12,
0.09500001,0.09500001,0.17,0.17,0.165,,
0.14,0.14,0.14,0.2099999,0.2099999,0.2,
0.13,0.135,0.13,0.14,0.145,0.135,
0.17,0.175,0.185,0.195,0.185,0.175,
0.16,0.15,0.14,0.13,0.12,0.115,
0.1,0.13,0.16,0.175,0.2,,
0.155,0.155,0.155,0.155,0.155,0.155,
0.14,0.175,0.19,0.195,0.205,,
0.175,0.165,0.145,0.125,0.12,0.11,
0.115,0.115,0.115,0.115,0.115,,
0.13,0.165,0.17,0.17,0.185,,
0.195,0.185,0.175,0.165,0.165,0.16,
0.2099999,0.2099999,0.2099999,0.2099999,0.2099999,0.2099999,
0.2599999,0.2349999,0.205,0.185,0.155,0.11,
0.205,0.2249999,0.2449999,0.2649999,0.2799999,,
0.19,0.2149999,0.2199999,0.2249999,0.2349999,0.2499999,
0.195,0.2,0.19,0.18,0.185,0.185,0.185
0.2549999,0.2399999,0.2349999,0.2249999,0.2149999,0.2,0.19
0.2599999,0.2249999,0.195,0.175,0.155,0.13,0.105
