Start,,,,,,,,,,,,
0.04,0.04,0.08,0.08,0.08,,,,,,,,
0.04,0.04,0.23,0.235,0.235,0.21,0.21,0.225,,,,,
0.22,0.22,0.26,0.265,0.255,0.24,0.21,0.205,0.24,,,,
0.22,0.185,0.205,0.195,,,,,,,,,
0.19,0.22,0.185,0.2,0.18,0.185,0.2,0.165,0.165,,,,
0.15,0.18,0.205,0.22,0.17,,,,,,,,
0.21,0.205,0.185,0.175,,,,,,,,,
0.21,0.24,0.225,0.215,0.075,0.08,0.07,0.065,,,,,
0.245,0.24,0.22,0.255,0.23,0.24,0.215,,,,,,
0.04,0.04,0.04,0.205,0.18,0.205,,,,,,,
0.04,0.04,0.04,0.04,0.27,0.23,0.205,0.195,0.2,,,,
0.29,0.29,0.265,0.24,0.235,,,,,,,,
0.04,0.04,0.04,0.25,0.275,0.265,0.24,0.19,0.19,,,,
0.04,0.26,0.245,0.195,0.165,0.13,0.13,,,,,,
0.04,0.04,0.04,0.04,0.255,0.28,0.255,0.25,0.23,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.11,0.11,0.135,0.145,0.14,0.14,0.15,,,,,,
0.17,0.14,0.14,0.05,0.075,0.205,0.225,0.22,0.22,,,,
0.04,0.04,0.19,0.195,0.21,0.22,0.22,0.22,,,,,
0.04,0.26,0.26,0.255,0.255,0.275,0.24,,,,,,
0.04,0.04,0.2,0.32,0.295,0.27,0.21,0.21,0.21,0.205,0.2,,
0.04,0.04,0.215,0.225,0.195,0.195,0.185,0.2,0.085,,,,
0.205,0.2,0.2,0.185,0.185,0.185,0.185,0.19,,,,,
0.145,0.125,0.16,0.135,0.14,0.15,0.15,,,,,,
0.04,0.185,0.185,0.185,0.185,0.185,0.185,0.07,,,,,
0.04,0.04,0.285,0.25,0.245,0.215,0.215,,,,,,
0.04,0.17,0.22,0.235,0.235,,,,,,,,
0.04,0.15,0.135,0.13,0.12,0.14,0.13,,,,,,
0.145,0.205,0.205,0.205,0.2,0.21,0.215,0.215,,,,,
0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
