Start,,,,,,,,
0.15,0.14,0.11,0.04,,,,,
0.105,0.095,0.09,0.04,0.04,,,,
0.075,0.075,0.04,0.04,0.04,0.04,0.04,,
0.06,0.055,0.055,0.125,0.13,0.11,,,
0.13,0.13,0.11,0.04,0.04,0.04,,,
0.085,0.08,0.075,0.075,0.11,0.11,,,
0.125,0.14,0.13,0.13,0.04,0.04,0.04,,
0.04,0.13,0.13,0.125,0.125,0.04,0.04,,
0.16,0.145,0.16,0.095,0.095,0.07,0.04,,
0.125,0.13,0.1,0.105,0.18,0.165,0.165,,
0.13,0.135,0.1,0.04,0.04,0.04,0.04,0.04,
0.09,0.08,0.09,0.16,0.145,0.04,0.04,,
0.125,0.125,0.08,0.085,0.095,0.1,0.13,0.13,
0.2,0.2,0.135,0.11,0.12,0.04,0.04,,
0.1,0.095,0.085,0.11,0.105,0.1,0.155,0.165,
0.085,0.08,0.08,0.085,0.14,0.135,0.14,,
0.18,0.125,0.12,0.085,0.08,0.08,0.07,0.07,
0.04,0.04,0.155,0.155,0.175,0.16,0.14,0.04,0.04
0.06,0.065,0.07,0.055,0.04,0.04,0.04,0.04,
0.04,0.07,0.12,0.115,0.105,0.11,0.04,,
0.135,0.135,0.135,0.13,0.04,0.04,0.04,0.04,
0.085,0.12,0.195,0.18,0.17,0.04,0.04,0.04,
0.1,0.12,0.115,0.12,0.12,0.105,0.095,0.04,
0.04,0.04,0.065,0.055,0.065,0.18,0.18,,
0.15,0.15,0.09,0.095,0.075,0.07,0.065,,
0.05,0.135,0.13,0.13,0.12,0.04,0.04,0.04,
0.04,0.04,0.04,0.04,0.11,0.105,0.115,0.115,
0.095,0.1,0.18,0.175,0.155,0.04,0.04,,
0.16,0.12,0.115,0.085,0.04,0.04,0.04,,
0.04,0.12,0.18,0.18,0.13,0.115,0.175,0.175,
