Start,,,,,,,,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,
0.04,0.04,0.04,0.04,0.055,0.1,0.105,0.1,0.1,0.1,,,,,
0.145,0.15,0.15,0.145,0.145,0.075,0.075,0.075,,,,,,,
0.04,0.04,0.04,0.075,0.065,0.08,0.075,0.08,0.07,0.07,0.07,0.07,0.07,,
0.16,0.16,0.16,0.08,0.08,0.13,0.145,0.14,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.125,0.125,0.125,0.125,0.125,0.125,,
0.04,0.08,0.08,0.08,0.08,0.115,0.11,0.115,0.115,0.115,,,,,
0.04,0.04,0.04,0.04,0.04,0.15,0.145,0.15,0.15,0.15,,,,,
0.155,0.155,0.175,0.08,0.08,0.08,0.08,0.08,0.08,,,,,,
0.04,0.04,0.075,0.075,0.145,0.15,0.145,0.155,0.15,0.145,,,,,
0.095,0.095,0.24,0.235,0.235,0.235,,,,,,,,,
0.045,0.085,0.1,0.11,0.105,0.105,0.105,0.105,0.105,0.105,,,,,
0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,,,,,
0.18,0.18,0.17,0.055,0.06,0.06,0.145,0.145,0.145,,,,,,
0.085,0.07,0.095,0.09,0.225,0.215,0.205,0.2,,,,,,,
0.2,0.195,0.2,0.195,0.06,0.06,0.06,,,,,,,,
0.04,0.04,0.07,0.075,0.155,0.16,0.185,0.155,0.135,0.095,,,,,
0.22,0.22,0.22,0.22,0.06,0.06,0.06,0.06,0.06,0.06,,,,,
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,,,
0.135,0.13,0.125,0.06,0.06,0.06,0.155,0.155,0.155,0.155,,,,,
0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.145,0.145,0.145,0.145,0.145,,,
0.045,0.035,0.04,0.04,0.115,0.15,0.15,0.16,0.165,0.145,0.145,0.145,,,
0.09,0.09,0.09,0.09,0.09,0.185,0.18,0.185,0.185,0.18,0.17,,,,
0.085,0.08,0.105,0.115,0.16,0.165,0.095,0.09,0.105,,,,,,
0.265,0.27,0.27,0.27,0.095,0.095,0.095,0.095,0.095,,,,,,
0.04,0.04,0.04,0.04,0.04,0.05,0.085,0.105,0.14,0.14,0.14,0.14,,,
0.035,0.025,0.03,0.04,0.025,0.04,0.04,0.18,0.155,0.165,0.165,0.165,,,
0.175,0.185,0.18,0.095,0.095,0.065,0.065,0.065,0.065,0.065,0.065,0.065,,,
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.035,0.07,0.095,0.095,0.095,0.095,0.11,
0.09,0.085,0.075,0.05,0.075,0.035,0.06,0.155,0.165,0.175,0.18,,,,
