Start,,,,,,,,,,
0.24,0.24,0.255,,,,,,,,
0.08,0.075,0.095,0.175,0.185,,,,,,
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,
0.04,0.04,0.04,0.04,0.145,0.15,0.125,,,,
0.04,0.04,0.04,0.13,0.14,0.13,0.04,,,,
0.11,0.11,0.115,0.14,,,,,,,
0.155,0.175,0.195,0.195,0.075,0.08,0.085,,,,
0.175,0.16,0.04,0.04,0.04,0.04,0.04,0.04,,,
0.055,0.06,0.05,0.05,0.05,0.135,0.14,0.14,0.14,,
0.02,0.035,0.035,0.035,0.035,0.035,0.15,0.15,0.15,,
0.04,0.04,0.04,0.04,0.04,0.04,0.23,0.215,0.215,,
0.04,0.04,0.23,0.04,0.215,0.04,0.04,0.04,,,
0.04,0.04,0.05,0.06,0.27,0.305,0.325,,,,
0.04,0.04,0.04,0.23,0.23,0.23,0.04,0.04,0.04,,
0.04,0.04,0.04,0.04,0.04,0.04,0.075,0.15,0.18,,
0.04,0.04,0.035,0.075,0.06,0.315,0.285,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.185,0.2,0.215,
0.04,0.04,0.04,0.04,0.04,0.12,0.105,0.11,0.11,,
0.195,0.185,0.185,0.185,0.185,,,,,,
0.045,0.135,0.13,0.13,0.06,0.04,0.06,0.055,0.06,,
0.04,0.04,0.04,0.04,0.04,0.04,0.18,0.18,,,
0.04,0.04,0.04,0.165,0.175,0.145,0.065,0.04,,,
0.04,0.04,0.04,0.04,0.19,0.19,,,,,
0.04,0.045,0.05,0.035,0.205,0.215,0.225,,,,
0.225,0.235,0.2,0.2,0.23,,,,,,
0.04,0.04,0.04,0.04,0.255,0.225,0.225,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16,0.16,0.16
0.04,0.04,0.04,0.04,0.04,0.3,0.04,0.27,,,
0.04,0.04,0.04,0.26,0.27,0.295,0.295,0.295,,,
