Start,,,,,,,
0.2500002,,,,,,,
0.04,0.04,0.04,0.04,0.135,,,
0.04,0.04,0.04,0.18,0.19,0.19,,
0.04,0.04,0.155,0.17,0.16,,,
0.075,0.09000001,0.11,0.115,0.1,0.125,0.13,
0.08500001,0.11,0.09500001,0.09500001,0.1,0.11,,
0.04,0.04,0.04,0.19,0.175,0.165,0.165,
0.2,0.205,0.205,0.08500001,,,,
0.14,0.155,0.115,0.125,0.135,0.09500001,,
0.08000001,0.08000001,0.09500001,0.1,0.1,0.1,,
0.09000001,0.09000001,0.1,0.09000001,0.12,,,
0.15,0.14,0.14,0.15,0.15,0.15,0.15,
0.09500001,0.09000001,0.08500001,0.09500001,0.08500001,0.08500001,,
0.13,0.13,0.13,0.13,0.13,0.13,0.13,
0.04,0.075,0.13,0.125,0.12,,,
0.18,0.18,0.18,0.14,0.09500001,0.09500001,0.09500001,
0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.2649999,0.2649999,0.2199999,0.135,0.135,0.135,,
0.07,0.065,0.15,0.17,0.165,0.17,0.15,
0.125,0.1,0.11,0.115,0.115,0.13,,
0.04,0.04,0.12,0.125,0.11,0.115,,
0.125,0.125,0.125,0.125,0.125,,,
0.04,0.04,0.15,0.145,0.16,0.15,,
0.2149999,0.205,0.2099999,,,,,
0.16,0.16,0.16,0.16,0.16,0.16,0.16,
0.04,0.04,0.125,0.125,0.125,0.125,,
0.2199999,0.205,0.2149999,,,,,
0.115,0.115,0.115,0.115,0.115,0.115,0.115,
0.18,0.17,0.13,0.13,0.13,,,
0.14,0.145,0.15,0.145,0.13,0.105,,
0.055,0.09000001,0.08500001,0.135,0.135,0.135,,
0.125,0.12,0.135,0.13,0.13,,,
0.2549999,0.2349999,0.105,0.1,,,,
0.115,0.115,0.115,0.115,0.115,0.115,0.115,
0.07,0.07,0.14,0.135,0.135,,,
0.115,0.115,0.155,0.155,0.165,,,
0.08000001,0.08000001,0.155,0.165,0.175,0.105,,
0.2299999,0.2449999,0.15,0.14,,,,
