Start,,,,,
0.04,0.045,0.185,,,
0.16,0.16,0.16,,,
0.04,0.04,0.125,0.125,,
0.14,0.125,0.165,0.16,,
0.04,0.1,0.11,0.11,,
0.13,0.135,0.03,,,
0.1,0.1,0.12,0.105,,
0.04,0.04,0.175,,,
0.2099999,0.05499999,0.115,,,
0.09000001,0.105,0.1,,,
0.04,0.04,0.1,0.16,,
0.14,0.04,0.09000001,0.09500001,,
0.045,0.08500001,0.05999999,0.115,,
0.175,0.135,0.055,,,
0.04,0.05,0.2299999,,,
0.04,0.04,0.04,0.2349999,,
0.04,0.175,0.19,0.19,,
0.16,0.17,0.04,,,
0.04499999,0.09000001,0.09000001,0.09000001,,
0.2449999,0.12,,,,
0.04,0.125,0.12,0.055,,
0.04,0.04,0.1,0.2,,
0.04,0.07,0.125,0.125,0.125,
0.2149999,0.125,0.04,0.04,,
0.16,0.2099999,0.04,0.04,0.04,
0.14,0.16,0.04,0.04,0.04,0.04
0.115,0.09500001,0.1949999,0.125,,
0.075,0.07,0.04,0.2399999,0.04,
0.145,0.09500001,0.105,0.035,0.035,
0.045,0.115,0.13,0.105,0.04,0.04
0.04,0.3049999,0.04,0.045,0.045,
0.19,0.185,0.04,0.04,0.04,
0.135,0.04,0.17,0.04,0.04,0.04
0.04,0.04,0.1,0.14,,
0.19,0.2,0.04,0.04,,
0.165,0.04,0.04,0.2199999,,
0.04,0.04,0.04,0.18,0.17,
0.11,0.11,0.04,0.04,0.14,
