Start,,,,,,,
0.28,0.28,,,,,,
0.28,0.28,0.28,0.28,,,,
0.28,0.28,0.28,0.28,0.28,0.28,,
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
0,0,0.28,0.28,,,,
0,0,0.28,0.28,0.28,0.28,,
0,0,0.28,0.28,0.28,0.28,0.28,0.28
0,0,0,0,0.28,0.28,,
0,0,0,0,0.28,0.28,0.28,0.28
0,0,0,0,0,0,0.28,0.28
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.04,0.04,0.04,0.04,0.04,0.04,0.28,0.28
0.04,0.04,0.04,0.04,0.28,0.28,0.04,0.04
0.12,0.12,0.12,0.12,0.12,0.12,0.28,0.28
0.12,0.12,0.12,0.12,0.28,0.28,0.12,0.12
0.12,0.12,0.12,0.12,0.28,0.28,0.28,0.28
0.12,0.12,0.28,0.28,0.28,0.28,0.12,0.12
0.28,0.28,,,,,,
0.28,0.28,0.28,0.28,,,,
0.28,0.28,0.28,0.28,0.28,0.28,,
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
0,0,0.28,0.28,,,,
0,0,0.28,0.28,0.28,0.28,,
0,0,0.28,0.28,0.28,0.28,0.28,0.28
0,0,0,0,0.28,0.28,,
0,0,0,0,0.28,0.28,0.28,0.28
0,0,0,0,0,0,0.28,0.28
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.04,0.04,0.04,0.04,0.04,0.04,0.28,0.28
0.04,0.04,0.04,0.04,0.28,0.28,0.04,0.04
0.12,0.12,0.12,0.12,0.12,0.12,0.28,0.28
0.12,0.12,0.12,0.12,0.28,0.28,0.12,0.12
0.12,0.12,0.12,0.12,0.28,0.28,0.28,0.28
0.12,0.12,0.28,0.28,0.28,0.28,0.12,0.12
