,p1,p2,p3,hd,wd,hu,wu
5,180,180,180,297.4998,137.5,199.9999,374.9998
15,180,90,0,194.9999,692.4995,162.4999,407.4997
11,135,135,45,222.4999,297.4998,239.9998,477.4997
9,135,45,45,552.4996,234.9999,89.99998,279.9998
10,135,90,45,399.9997,120,354.9998,392.4998
12,180,90,90,389.9997,204.9999,272.4998,309.9998
14,180,180,90,407.4997,264.9999,499.9996,262.4999
2,45,45,45,162.4999,642.4995,50,399.9997
3,90,90,90,599.9996,232.4999,117.5,232.4999
6,90,0,0,110,117.5,429.9997,452.4997
13,180,135,90,319.9998,197.4999,319.9998,322.4998
8,90,90,0,94.99998,404.9997,45,432.4997
7,90,45,0,344.9998,100,472.4996,157.5
4,135,135,135,157.4999,477.4997,324.9998,292.4998
1,0,0,0,65.00001,579.9996,50,100
