,p1,p2,p3,hd,wd,hu,wu
11,135,135,45,99.99998,35.00005,242.4999,174.9999
2,45,45,45,60.00001,344.9998,62.50001,37.50002
1,0,0,0,84.99999,277.4998,99.99998,30.00002
10,135,90,45,94.99998,22.5,107.5,244.9999
7,90,45,0,35,362.4998,10,42.50003
13,180,135,90,139.9999,35.00002,134.9999,162.5
14,180,180,90,32.49999,387.4998,110,249.9999
5,180,180,180,137.4999,30.00003,120,209.9999
15,180,90,0,187.4999,60.00003,42.5,357.4998
6,90,0,0,70,269.9998,50,100
9,135,45,45,97.49998,37.5,40,337.4998
8,90,90,0,70,37.50003,40,377.4998
4,135,135,135,152.4999,47.50004,47.5,462.4997
3,90,90,90,97.49998,52.50005,57.5,357.4998
12,180,90,90,169.9999,70.00004,115,294.9998
