,p1,p2,p3,hd,wd,hu,wu
5,180,180,180,245.0001,37.5,52.50023,357.5002
11,135,135,45,157.5002,37.49999,100.0002,270.0003
14,180,180,90,300,122.5005,107.5002,122.5005
