,p1,p2,p3,hd,wd,hu,wu
5,180,180,180,102.5002,82.50052,150.0002,600
11,135,135,45,142.5002,507.5001,82.50022,140.0005
14,180,180,90,210.0001,395.0002,77.50022,92.50051
