,p1,p2,p3,hd,wd,hu,wu
4,135,135,135,469.9998,235.0004,300,227.5004
11,135,135,45,20.00023,600,300,600
12,180,90,90,392.4999,167.5004,300,232.5004
13,180,135,90,235.0001,597.5,235.0001,457.5002
