,p1,p2,p3,hd,wd,hu,wu
12,180,90,90,150.0002,192.5004,157.5002,285.0003
7,90,45,0,182.4999,295.0003,62.50024,195.0004
5,180,180,180,142.5002,167.5004,142.5002,305.0003
2,45,45,45,197.5001,107.5005,95.00021,110.0005
10,135,90,45,167.5001,185.0004,127.5002,290.0003
15,180,90,0,142.5002,175.0004,107.5002,265.0003
6,90,0,0,127.5002,237.5004,62.50024,147.5005
8,90,90,0,132.5002,300.0003,95.00021,247.5004
1,0,0,0,2.5,112.5005,300,112.5005
9,135,45,45,155.0002,177.5004,130.0002,302.5003
4,135,135,135,150.0002,125.0005,155.0002,240.0004
11,135,135,45,150.0002,140.0005,155.0002,200.0004
13,180,135,90,130.0002,140.0005,155.0002,405.0002
3,90,90,90,120.0002,175.0004,185.0001,172.5004
14,180,180,90,122.5002,172.5004,205.0001,305.0003
