,p1,p2,p3,hd,wd,hu,wu
12,180,90,90,102.5,122.5,127.5,117.5
,p1,p2,p3,hd,wd,hu,wu
12,180,90,90,137.4999,199.9999,97.49998,194.9999
8,90,90,0,50,100,50,100
9,135,45,45,169.9999,100,50,100
13,180,135,90,127.5,217.4999,82.49998,212.4999
5,180,180,180,139.9999,199.9999,117.5,209.9999
4,135,135,135,89.99998,150,107.5,145
6,90,0,0,42.5,75.00002,40,75.00002
2,45,45,45,50,179.9999,50,182.4999
15,180,90,0,92.49998,182.4999,67.5,189.9999
1,0,0,0,42.5,177.4999,29.99999,169.9999
14,180,180,90,164.9999,302.4998,157.4999,299.9998
3,90,90,90,127.5,100,144.9999,100
10,135,90,45,97.49998,150,115,145
7,90,45,0,105,177.4999,97.49998,157.5
11,135,135,45,87.49998,219.9999,77.49999,209.9999
