,p1,p2,p3,hd,wd,hu,wu
3,90,90,90,170.0001,270.0003,202.5001,167.5004
5,180,180,180,190.0001,252.5004,207.5001,357.5002
14,180,180,90,180.0001,255.0004,165.0001,150.0005
9,135,45,45,197.5001,182.5004,207.5001,255.0004
1,0,0,0,172.5001,67.50053,165.0001,70.00053
10,135,90,45,185.0001,62.50054,190.0001,205.0004
2,45,45,45,207.5001,115.0005,200.0001,67.50053
7,90,45,0,170.0001,267.5003,187.5001,282.5003
6,90,0,0,72.50023,130.0005,212.5001,52.50053
11,135,135,45,162.5001,347.5003,195.0001,347.5003
12,180,90,90,172.5001,455.0002,177.5001,465.0002
4,135,135,135,180.0001,445.0002,190.0001,335.0003
13,180,135,90,142.5002,437.5002,137.5002,442.5002
15,180,90,0,150.0002,455.0002,200.0001,365.0002
8,90,90,0,140.0002,122.5005,170.0001,270.0003
