,p1,p2,p3,hd,wd,hu,wu
3,90,90,90,182.5001,280.0003,180.0001,290.0003
10,135,90,45,147.5002,255.0004,150.0002,367.5002
12,180,90,90,207.5001,550.0001,107.5002,457.5002
9,135,45,45,135.0002,242.5004,67.50024,167.5004
11,135,135,45,127.5002,370.0002,117.5,290.0003
6,90,0,0,150.0002,320.0003,182.4999,480.0002
13,180,135,90,117.5002,480.0002,212.5001,380.0002
8,90,90,0,42.50023,185.0004,132.5002,250.0004
14,180,180,90,70.00023,302.5003,280,377.5002
4,135,135,135,107.5002,375.0002,140.0002,307.5003
7,90,45,0,97.50021,252.5004,102.5,182.5004
15,180,90,0,162.5001,365.0002,197.5001,327.5003
1,0,0,0,180.0001,300.0003,42.50023,280.0003
5,180,180,180,187.5001,340.0003,60.00024,222.5004
2,45,45,45,142.5002,560.0001,80.00022,495.0001
