,p1,p2,p3,hd,wd,hu,wu
6,90,0,0,210.0001,320.0003,75.00023,37.50052
15,180,90,0,142.4999,302.5003,180.0001,305.0003
2,45,45,45,160.0002,307.5003,197.5001,45.00053
1,0,0,0,77.50022,297.5003,182.5001,40.00052
9,135,45,45,150.0002,75.00053,192.5001,287.5003
7,90,45,0,165.0001,352.5003,102.5002,157.5004
5,180,180,180,95.00021,105.0005,220.0001,377.5002
3,90,90,90,107.5002,212.5004,220.0001,405.0002
10,135,90,45,177.5001,207.5004,102.5002,350.0003
11,135,135,45,215.0001,252.5004,92.50021,62.50054
12,180,90,90,262.5001,355.0002,52.50023,105.0005
13,180,135,90,182.5001,430.0002,145.0002,42.50053
4,135,135,135,102.5002,150.0005,197.5001,267.5003
14,180,180,90,95.00021,92.50051,300,457.5002
8,90,90,0,162.5001,267.5003,110.0002,162.5004
