,p1,p2,p3,hd,wd,hu,wu
5,180,180,180,227.4999,100,189.9999,219.9999
3,90,90,90,222.4999,229.9999,50,47.50004
9,135,45,45,177.4999,317.4998,217.4999,47.50003
2,45,45,45,60.00001,292.4998,252.4998,42.50003
11,135,135,45,152.4999,264.9999,72.5,344.9998
6,90,0,0,179.9999,292.4998,107.5,47.50004
13,180,135,90,232.4999,180,102.5,332.4998
10,135,90,45,219.9999,50.00004,110,297.4998
12,180,90,90,117.5,232.4999,162.4999,45.00003
7,90,45,0,142.4999,199.9999,164.9999,50.00004
15,180,90,0,207.4999,324.9998,89.99998,72.50004
8,90,90,0,197.4999,135,102.5,284.9998
14,180,180,90,194.9999,175,82.49998,284.9998
1,0,0,0,74.99999,249.9999,234.9998,32.50003
4,135,135,135,174.9999,247.4999,50,55.00004
