,p1,p2,p3,hd,wd,hu,wu
,p1,p2,p3,hd,wd,hu,wu
3,90,90,90,142.4999,90.00002,80,122.5
9,135,45,45,89.99998,189.9999,50,189.9999
14,180,180,90,102.5,100,194.9999,224.9999
10,135,90,45,80,174.9999,127.5,189.9999
6,90,0,0,105,177.4999,50,100
11,135,135,45,115,100,192.4999,192.4999
5,180,180,180,77.49999,100,219.9999,165
2,45,45,45,134.9999,207.4999,27.5,100
12,180,90,90,152.4999,100,144.9999,249.9999
4,135,135,135,50,100,229.9999,237.4999
13,180,135,90,50,100,50,100
1,0,0,0,99.99997,332.4998,50,100
7,90,45,0,197.4999,214.9999,50,214.9999
15,180,90,0,120,95.00002,187.4999,237.4999
8,90,90,0,50,40.00003,229.9999,199.9999
