,p1,p2,p3,hd,wd,hu,wu
13,180,135,90,115,234.9999,89.99998,100
5,180,180,180,142.4999,100,62.50002,232.4999
11,135,135,45,94.99998,105,139.9999,274.9998
10,135,90,45,124.9999,199.9999,50,100
15,180,90,0,82.49999,209.9999,169.9999,100
4,135,135,135,92.49998,92.50002,142.4999,257.4999
7,90,45,0,177.4999,97.50001,70,274.9998
8,90,90,0,94.99998,267.4999,172.4999,100
1,0,0,0,70,284.9998,172.4999,115
14,180,180,90,164.9999,284.9998,50,289.9998
6,90,0,0,179.9999,42.50003,50,254.9999
9,135,45,45,70,257.4999,217.4999,47.50004
12,180,90,90,117.5,279.9998,177.4999,37.50003
3,90,90,90,67.5,309.9998,204.9999,100
2,45,45,45,152.4999,90.00002,149.9999,287.4998
