,p1,p2,p3,hd,wd,hu,wu
8,90,90,0,47.5,142.5,105,145
5,180,180,180,79.99999,135,184.9999,135
4,135,135,135,50,174.9999,50,120
15,180,90,0,50,187.4999,117.5,177.4999
2,45,45,45,47.5,179.9999,222.4999,142.5
13,180,135,90,115,107.5,174.9999,262.4999
7,90,45,0,124.9999,150,50,100
3,90,90,90,50,130,157.4999,100
12,180,90,90,125,140,82.49998,127.5
11,135,135,45,60.00001,137.5,50,157.5
14,180,180,90,97.49998,112.5,50,105
10,135,90,45,50,125,147.4999,120
9,135,45,45,50,100,74.99999,147.5
6,90,0,0,50,122.5,115,100
1,0,0,0,17.49999,192.4999,50,25.00002
