,p1,p2,p3,hd,wd,hu,wu
9,135,45,45,232.4999,100,50,100
8,90,90,0,97.49998,100,105,147.5
14,180,180,90,82.49999,87.50002,149.9999,202.4999
7,90,45,0,124.9999,167.4999,50,167.4999
5,180,180,180,199.9999,100,87.49999,269.9998
15,180,90,0,89.99998,100,154.9999,189.9999
