,p1,p2,p3,hd,wd,hu,wu
8,90,90,0,50,274.9998,187.4999,264.9999
7,90,45,0,47.5,105,189.9999,352.4998
2,45,45,45,97.5,312.4998,142.4999,42.50003
13,180,135,90,172.4999,60.00003,157.4999,262.4999
6,90,0,0,79.99999,452.4997,107.5,55.00003
15,180,90,0,122.5,40.00003,177.4999,282.4998
3,90,90,90,52.5,399.9997,224.9999,47.50003
12,180,90,90,164.9999,294.9998,45,47.50004
4,135,135,135,72.50001,27.5,35,409.9997
11,135,135,45,67.5,32.5,144.9999,292.4998
9,135,45,45,82.49998,27.49999,147.4999,342.4998
1,0,0,0,50,239.9999,169.9999,57.50003
14,180,180,90,112.5,62.50005,167.4999,264.9999
5,180,180,180,182.4999,47.50004,77.5,394.9998
10,135,90,45,152.4999,57.50004,42.5,262.4999
