,p1,p2,p3,hd,wd,hu,wu
2,45,45,45,139.9999,432.4997,50,432.4997
1,0,0,0,144.9999,165,50,167.4999
4,135,135,135,467.4997,100,50,100
14,180,180,90,132.5,264.9999,50,372.4998
6,90,0,0,50,484.9997,50,100
13,180,135,90,99.99999,379.9998,404.9997,100
5,180,180,180,222.4999,100,132.5,399.9997
10,135,90,45,50,219.9999,50,219.9999
3,90,90,90,187.4999,267.4999,50,264.9998
7,90,45,0,37.49999,417.4997,50,100
8,90,90,0,224.9999,344.9998,50,344.9998
12,180,90,90,347.4998,324.9998,50,319.9998
11,135,135,45,482.4997,100,50,100
15,180,90,0,577.4996,389.9998,50,402.4997
9,135,45,45,219.9999,567.4996,50,379.9998
