start,,,,,,,,,,,,,,,
0.04,0.275,0.275,0.275,,,,,,,,,,,,
0.185,0.185,0.185,0.185,0.185,0.185,0.185,,,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.23,0.23,0.23,0.23,,,,,,,
0.4,0.4,0.23,0.295,0.295,0.08,0.08,0.08,0.08,0.08,0.08,,,,,
0.04,0.23,0.23,0.23,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,
0.04,0.04,0.04,0.04,0.04,0.13,0.17,0.175,,,,,,,,
0.135,0.065,0.09,0.185,0.315,0.265,0.265,0.24,0.25,0.25,0.265,0.055,0.08,,,
0.105,0.125,0.05,0.075,0.06,0.15,0.16,0.305,0.345,0.3,0.35,0.3,0.305,,,
0.32,0.29,0.335,0.325,0.34,0.395,0.445,0.38,0.37,0.345,,,,,,
0.5,0.5,0.5,0.5,0.195,0.115,0.075,,,,,,,,,
0.5,0.5,0.5,0.5,0.5,0.22,0.185,0.135,0.215,0.275,0.5,0.5,0.5,0.5,0.5,
0.165,0.15,0.115,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,
0.04,0.04,0.205,0.385,0.385,,,,,,,,,,,
0.04,0.04,0.04,0.04,0.33,0.31,0.315,0.25,0.22,0.04,0.04,,,,,
0.04,0.04,0.04,0.04,0.04,0.175,0.155,0.195,0.18,0.215,0.21,0.205,0.175,,,
0.355,0.365,0.385,0.315,0.295,0.275,,,,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.415,0.41,0.375,,,,,,
0.21,0.26,0.28,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,
0.11,0.235,0.2,0.235,0.5,0.5,0.5,0.5,0.5,,,,,,,
0.115,0.12,0.5,0.5,0.5,0.5,0.14,0.15,0.14,0.1,,,,,,
0.045,0.045,0.07,0.055,0.04,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.04,0.06,0.125,0.07,0.355,0.265,0.37,0.315,0.28,0.31,0.29,0.335,0.31,,,
0.31,0.3,0.265,0.255,0.24,0.255,0.245,0.275,0.31,0.365,0.37,0.36,,,,
0.34,0.29,0.295,0.32,0.33,0.33,0.285,0.295,,,,,,,,
0.04,0.04,0.04,0.49,0.44,0.435,0.435,,,,,,,,,
0.445,0.35,0.04,0.04,0.04,0.04,0.37,0.4,0.4,0.4,0.4,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.49,0.46,0.5,0.5,0.5,,,
0.04,0.04,0.335,0.37,0.38,0.29,0.275,0.24,0.035,,,,,,,
0.04,0.04,0.04,0.41,0.335,0.04,0.04,0.325,0.275,,,,,,,
0.04,0.04,0.04,0.04,0.32,0.4,0.425,0.43,0.43,,,,,,,
0.18,0.28,0.245,0.195,0.11,0.095,,,,,,,,,,
0.075,0.08,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.17,0.1,,,,
0.075,0.07,0.06,0.03,0.265,0.335,0.325,0.34,0.34,0.34,0.36,0.225,0.185,0.085,,
0.05,0.095,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,
0.5,0.5,0.5,0.5,0.5,0.115,0.125,0.105,0.105,0.045,0.045,,,,,
0.115,0.165,0.145,0.11,0.12,0.205,0.24,0.195,0.3,0.305,0.355,0.375,,,,
