Start,,,,,,,,,,,
0.04,0.04,0.04,0.175,0.175,,,,,,,
0.04,0.04,0.04,0.17,0.15,0.16,0.04,0.04,0.04,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.25,0.25,0.25,0.245,
0.2,0.2,0.205,0.04,0.04,0.04,0.04,0.04,,,,
0.04,0.04,0.04,0.04,0.04,0.15,0.15,0.155,0.155,,,
0.19,0.195,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.2,0.2,0.2
0.115,0.12,0.12,0.065,0.07,0.075,0.08,0.07,,,,
0.215,0.205,0.195,0.075,0.07,0.175,0.19,0.06,0.055,,,
0.04,0.035,0.045,0.035,0.03,0.05,0.055,0.205,0.215,0.225,,
0.165,0.185,0.035,0.205,0.21,0.04,0.04,0.045,,,,
0.04,0.03,0.04,0.03,0.045,0.055,0.225,0.225,0.22,,,
0.03,0.035,0.04,0.265,0.285,0.27,0.165,0.035,0.04,,,
0.04,0.04,0.16,0.155,0.175,0.04,0.04,,,,,
0.17,0.185,0.04,0.04,0.04,0.2,0.195,0.19,0.195,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.3,0.285,0.28,,,
0.23,0.23,0.23,0.04,0.04,0.04,0.04,,,,,
0.215,0.245,0.04,0.04,0.04,0.04,0.225,0.245,0.25,,,
0.21,0.21,0.22,0.23,0.235,0.225,0.225,0.105,0.105,,,
0.285,0.27,0.04,0.045,0.02,0.025,0.025,0.025,,,,
0.055,0.045,0.21,0.215,0.215,0.21,0.2,0.2,,,,
0.195,0.23,0.21,0.21,0.205,0.21,0.2,0.19,0.195,,,
0.165,0.17,0.04,0.04,0.04,0.025,0.035,,,,,
0.04,0.03,0.025,0.04,0.025,0.245,0.285,0.3,0.29,0.28,,
0.12,0.13,0.135,0.045,0.205,0.195,0.04,0.03,,,,
0.24,0.235,0.26,0.04,0.245,0.235,0.275,,,,,
0.265,0.26,0.28,0.265,0.04,0.04,0.04,0.265,0.24,,,
0.04,0.04,0.04,0.04,0.04,0.33,0.315,0.35,0.33,,,
0.215,0.23,0.04,0.04,0.04,0.04,0.255,0.265,,,,
0.04,0.04,0.04,0.23,0.255,0.235,0.265,0.285,0.25,,,
0.27,0.265,0.26,0.26,0.04,0.04,0.04,0.255,0.26,0.04,,
0.175,0.185,0.2,0.045,0.035,0.04,0.04,,,,,
0.18,0.15,0.14,0.135,0.03,0.03,0.045,0.045,,,,
0.025,0.035,0.175,0.185,0.19,0.2,0.195,0.185,,,,
0.145,0.145,0.135,0.12,0.125,0.125,0.125,,,,,
0.19,0.185,0.185,0.17,0.045,0.035,0.025,0.01,,,,
0.24,0.245,0.24,0.22,0.1,0.105,0.085,0.05,,,,
