Start,,,,,,,,,,,,,,,,,,
0.18,0.2,0.205,0.185,0.185,,,,,,,,,,,,,,
0.135,0.155,0.145,0.155,0.14,0.14,0.14,0.165,0.165,,,,,,,,,,
0.31,0.27,0.25,0.24,0.18,0.18,0.18,0.18,0.18,0.18,,,,,,,,,
0.36,0.345,0.32,0.335,,,,,,,,,,,,,,,
0.04,0.04,0.04,0.04,0.05,0.03,0.03,0.035,0.04,0.19,0.215,0.26,0.185,,,,,,
0.305,0.28,0.28,0.285,0.27,0.265,0.25,0.275,,,,,,,,,,,
0.15,0.145,0.14,0.135,0.14,0.145,0.145,0.135,0.135,,,,,,,,,,
0.06,0.065,0.065,0.1,0.11,0.12,0.11,0.115,0.11,0.105,0.09,0.105,0.145,0.1,0.08,,,,
0.095,0.105,0.11,0.155,0.15,0.125,0.1,0.12,0.5,0.5,0.5,0.5,0.5,,,,,,
0.185,0.205,0.215,0.22,0.22,0.23,0.23,0.185,0.155,0.145,0.11,0.125,,,,,,,
0.025,0.25,0.23,0.275,0.265,0.275,0.29,0.3,0.26,0.26,,,,,,,,,
0.34,0.37,0.4,0.39,0.38,0.265,0.28,0.29,0.29,0.275,0.255,0.275,,,,,,,
0.29,0.335,0.32,0.27,0.295,0.285,0.275,0.27,,,,,,,,,,,
0.04,0.235,0.235,0.235,0.235,0.235,0.375,0.37,0.37,0.38,0.37,0.37,0.37,,,,,,
0.295,0.295,0.29,0.325,0.37,0.325,0.325,0.33,0.315,0.305,0.305,0.295,0.295,0.285,0.295,,,,
0.36,0.36,0.375,0.42,0.4,0.435,0.41,0.4,0.39,0.39,0.435,0.395,0.345,0.36,,,,,
0.04,0.04,0.045,0.03,0.04,0.07,0.065,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,
0.04,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,,
0.34,0.315,0.32,0.335,0.385,0.395,0.42,0.4,,,,,,,,,,,
0.11,0.145,0.16,0.135,0.165,0.135,0.315,0.355,0.325,0.335,0.345,,,,,,,,
0.1,0.135,0.145,0.165,0.175,0.165,0.23,0.19,0.24,0.21,0.23,0.23,0.23,0.225,,,,,
0.04,0.255,0.295,0.345,0.325,0.32,0.31,0.305,0.315,0.065,,,,,,,,,
0.16,0.155,0.165,0.165,0.17,0.17,0.17,0.18,0.175,0.175,0.18,0.175,0.185,0.155,0.18,0.16,,,
0.06,0.13,0.23,0.28,0.285,0.41,0.5,0.45,0.395,0.36,0.24,0.23,0.17,0.16,,,,,
0.18,0.25,0.33,0.315,0.335,0.35,,,,,,,,,,,,,
0.405,0.4,0.385,0.38,0.37,0.365,0.365,0.38,0.38,0.38,0.38,0.38,0.38,,,,,,
0.04,0.04,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.18,0.175,,,,,,,
0.04,0.4,0.435,0.5,0.5,0.5,0.5,0.5,0.5,0.495,0.475,0.49,,,,,,,
0.04,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345
0.425,0.405,0.395,0.42,0.33,0.315,0.125,0.115,,,,,,,,,,,
0.27,0.265,0.28,0.255,0.24,0.275,,,,,,,,,,,,,
0.095,0.125,0.125,0.095,0.095,0.115,0.105,0.07,0.105,0.12,0.11,0.105,0.06,0.09,0.065,0.03,,,
0.125,0.13,0.1,0.12,0.1,0.09,0.145,0.32,0.305,0.32,0.31,0.34,,,,,,,
0.285,0.27,0.295,0.26,0.16,0.16,0.16,0.16,,,,,,,,,,,
0.04,0.26,0.325,0.31,0.28,0.275,0.065,0.085,0.065,0.085,0.08,0.25,0.31,0.315,0.29,0.305,,,
0.365,0.335,0.375,0.355,0.34,0.335,0.315,0.33,0.335,0.355,0.36,,,,,,,,
