Start,,,,,,,,,,,,,,
0.085,0.09,0.085,0.15,0.23,,,,,,,,,,
0.04,0.175,0.21,0.1,0.085,,,,,,,,,,
0.04,0.04,0.15,0.265,0.225,0.25,0.29,0.3,,,,,,,
0.04,0.095,0.14,0.09,0.05,0.065,0.065,0.045,0.045,0.04,,,,,
0.04,0.04,0.045,0.145,0.17,0.14,0.055,0.075,0.05,,,,,,
0.04,0.04,0.04,0.04,0.05,0.08,0.085,0.08,0.08,0.08,,,,,
0.05,0.055,0.055,0.045,0.065,0.05,0.18,0.23,0.26,0.18,0.195,0.22,,,
0.015,0.015,0.03,0.045,0.04,0.025,0.14,0.24,0.275,,,,,,
0.04,0.04,0.08,0.105,0.12,0.13,0.125,0.13,0.085,0.04,,,,,
0.14,0.1,0.105,0.14,0.13,0.1,0.165,0.165,0.185,0.135,,,,,
0.185,0.19,0.19,0.21,0.235,0.255,0.31,0.335,0.38,0.4,0.38,0.355,,,
0.155,0.195,0.25,0.32,0.315,0.355,0.275,0.225,0.175,,,,,,
0.105,0.15,0.185,0.215,0.215,0.18,0.14,0.185,,,,,,,
0.04,0.04,0.04,0.135,0.175,0.185,,,,,,,,,
0.04,0.065,0.065,0.04,0.07,0.19,0.235,0.235,,,,,,,
0.045,0.19,0.21,0.23,0.22,0.245,0.25,0.25,,,,,,,
0.04,0.22,0.22,0.24,0.27,0.255,,,,,,,,,
0.035,0.18,0.185,0.19,0.215,0.17,0.02,0.02,0.02,,,,,,
0.01,0.025,0.015,0.02,0.025,0.025,0.035,0.03,0.025,0.025,0.03,0.03,0.03,,
0.04,0.165,0.17,0.19,0.175,0.135,0.09,0.1,0.105,0.11,,,,,
0.015,0.02,0.015,0.015,0.03,0.06,0.115,0.125,0.16,0.155,0.155,,,,
0.06,0.34,0.445,0.395,0.41,0.395,0.415,0.46,0.5,0.5,0.5,0.5,0.46,0.46,
0.04,0.245,0.265,0.34,0.365,0.37,0.335,0.37,0.385,0.325,0.38,,,,
0.225,0.275,0.305,0.33,0.405,0.4,0.415,0.42,0.345,0.31,0.31,,,,
0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.065,0.07,0.04,,,,
0.04,0.04,0.04,0.08,0.095,0.105,0.12,0.11,0.115,0.105,0.07,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.22,0.235,0.225,0.165,0.165,,
0.04,0.025,0.04,0.04,0.155,0.16,0.165,0.175,0.18,0.19,0.205,0.16,0.14,0.04,0.015
0.04,0.025,0.04,0.04,0.04,0.04,0.04,0.04,0.11,0.13,0.13,0.16,0.16,,
0.04,0.04,0.27,0.25,0.215,0.29,0.225,0.285,0.265,0.27,0.27,0.27,,,
0.165,0.135,0.145,0.205,0.215,0.225,0.195,0.2,0.145,0.18,0.23,,,,
0.04,0.105,0.145,0.205,0.225,0.21,0.3,0.25,0.235,0.24,,,,,
0.14,0.17,0.145,0.145,0.14,0.24,0.275,0.32,0.285,0.285,,,,,
0.285,0.32,0.345,0.315,0.375,0.345,0.35,0.32,0.355,0.37,0.325,0.295,,,
0.05,0.065,0.115,0.18,0.1,0.075,0.1,0.065,0.09,0.085,0.105,0.11,0.095,0.07,
0.39,0.395,0.395,0.375,0.3,0.34,0.375,0.32,0.43,0.39,0.4,0.5,0.46,0.365,0.375
