Start,,,,,,,,,,,,,,,
0.04,0.19,0.19,,,,,,,,,,,,,
0.035,0.205,0.205,0.045,,,,,,,,,,,,
0.04,0.04,0.04,0.385,0.395,0.05,,,,,,,,,,
0.205,0.3,0.38,0.38,0.19,,,,,,,,,,,
0.13,0.105,0.13,0.155,0.465,0.485,0.485,,,,,,,,,
0.04,0.04,0.04,0.47,0.475,0.5,0.5,0.5,,,,,,,,
0.06,0.055,0.435,0.43,0.065,0.07,0.07,0.06,0.115,0.04,0.04,0.065,0.05,0.045,0.03,0.045
0.03,0.03,0.215,0.465,0.5,0.455,0.045,0.04,,,,,,,,
0.08,0.045,0.12,0.45,0.445,0.05,0.08,0.07,0.06,0.095,0.085,,,,,
0.06,0.5,0.5,0.5,0.5,0.075,0.06,0.055,,,,,,,,
0.055,0.045,0.08,0.25,0.335,0.375,0.385,0.385,0.375,0.24,,,,,,
0.095,0.485,0.5,0.47,0.43,0.435,0.075,0.045,0.065,0.07,0.035,,,,,
0.06,0.07,0.5,,,,,,,,,,,,,
0.04,0.04,0.43,0.5,0.085,0.04,0.05,,,,,,,,,
0.04,0.04,0.08,0.145,0.31,0.5,0.145,,,,,,,,,
0.04,0.34,0.365,0.34,0.35,0.08,0.055,,,,,,,,,
0.045,0.04,0.04,0.045,0.175,0.5,0.465,,,,,,,,,
0.125,0.255,0.365,0.375,0.39,0.355,0.305,0.24,,,,,,,,
0.05,0.04,0.5,0.07,0.075,0.055,0.075,0.05,0.07,0.065,0.5,,,,,
0.5,0.5,0.5,0.475,0.465,0.08,0.085,0.095,0.09,0.085,0.075,0.075,0.295,0.365,0.325,0.21
0.19,0.165,0.23,0.205,0.425,0.48,0.5,0.5,0.5,0.13,0.08,0.1,0.06,0.085,0.115,0.145
0.04,0.5,0.5,0.5,0.5,0.495,0.05,0.035,0.065,0.06,0.07,0.09,0.07,0.04,0.05,0.025
0.105,0.11,0.105,0.42,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.435,0.085,0.155,0.225,0.205
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
0.045,0.055,0.5,0.045,,,,,,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.5,0.485,0.055,0.04,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.5,0.435,0.045,,,,,,,
0.04,0.04,0.305,0.39,0.42,0.43,0.345,0.345,0.12,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.365,0.5,0.5,0.31,,,,,,,
0.11,0.195,0.425,0.455,0.38,0.37,0.415,0.42,,,,,,,,
0.285,0.5,0.5,0.5,0.5,0.5,0.475,0.175,0.145,,,,,,,
0.5,0.5,0.465,0.41,0.385,0.345,0.275,0.185,0.1,0.05,0.065,0.06,0.06,,,
0.07,0.22,0.29,0.5,0.5,0.5,0.5,0.405,0.08,0.04,,,,,,
0.085,0.365,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,
0.045,0.035,0.05,0.045,0.375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,
