Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,C1,C2,C3,C4,C5,C6
input,14634.666666666668,29269.333333333336,43904.00000000001,58538.66666666668,14634.666666666668,29269.333333333336,43904.00000000001,14634.666666666668,29269.333333333336,14634.666666666668,170.6666666666667,4608.000000000001,21333.33333333333,14762.666666666668,14762.666666666668,18090.666666666668,18090.666666666668,31573.333333333336,31573.333333333336
p1,5181.333333333334,37320.0,18415.66666666667,193925.33333333334,41666.66666666667,29749.333333333343,30561.333333333336,6561.000000000001,12607.999999999998,6552.000000000001,2050.6666666666665,14527.999999999996,25704.333333333332,31704.000000000004,28583.333333333336,10037.000000000002,17998.33333333333,18531.0,23509.33333333333
p1,17680.66666666666,12064.0,11930.666666666668,21462.333333333336,14466.666666666666,31750.0,21735.0,17028.333333333332,20116.0,12246.333333333334,10015.666666666668,8000.000000000001,3898.3333333333335,21482.666666666657,8725.333333333336,11182.999999999998,11049.66666666667,36819.0,32696.666666666668
p2,105.66666666666666,14536.333333333336,32518.666666666664,65037.33333333332,29995.666666666664,18521.999999999996,32256.000000000004,20833.333333333336,41472.00000000001,139968.0,46130.66666666667,117911.99999999997,91942.66666666667,157208.33333333334,45822.33333333334,27782.999999999996,36864.00000000001,16627.0,52727.999999999985
p2,32256.000000000004,51221.33333333334,36864.00000000001,52488.00000000001,130965.33333333333,161877.33333333334,81000.0,36864.00000000001,65610.00000000001,46869.33333333332,117911.99999999997,18290.666666666668,99291.00000000001,32445.33333333334,46869.33333333332,46869.33333333332,29080.000000000007,36864.00000000001,52488.00000000001
p3,2615.666666666667,3181.3333333333335,6216.666666666665,4026.333333333333,3634.6666666666674,10692.0,7361.666666666667,498.6666666666666,8625.666666666668,6840.666666666666,4160.333333333334,9749.0,19540.333333333332,10839.333333333332,8003.666666666666,5305.666666666668,22691.33333333333,11616.333333333334,5111.333333333334
p3,2013.3333333333335,3661.666666666666,6750.333333333334,27213.333333333332,14333.333333333332,7880.0,34264.333333333336,22082.66666666666,18293.333333333336,13138.0,7490.666666666668,24939.0,6920.333333333333,20888.333333333336,23435.666666666664,33856.33333333334,18930.333333333336,11930.666666666666,7152.666666666668
p4,8881.000000000002,2634.666666666667,12810.333333333334,4672.0,1975.0,12608.0,6275.666666666667,7226.666666666666,5824.333333333333,7914.666666666668,15319.000000000002,16248.666666666668,5674.333333333333,10386.0,7431.333333333334,10815.333333333334,7581.333333333333,6293.333333333334,13030.999999999998
p4,5397.333333333333,7645.333333333334,4467.0,9554.666666666668,7591.333333333334,6564.333333333334,18597.66666666667,30134.333333333336,29755.000000000004,27195.0,8279.333333333332,3763.3333333333335,16349.666666666664,12894.000000000002,26216.666666666664,11591.333333333332,18507.333333333336,21101.666666666664,6574.333333333333
p5,3518.6666666666665,4610.666666666666,618.6666666666669,1829.3333333333335,21.333333333333336,576.0000000000001,1829.3333333333335,42.66666666666667,1152.0000000000002,1224.0000000000002,374.9999999999999,135.0,1551.0000000000002,7317.333333333334,85.33333333333334,957.3333333333335,4572.666666666667,4722.333333333334,6173.999999999999
