Start,,,,,,,,
0.2749999,0.175,0.1,0.04,0.04,,,,
0.04,0.165,0.135,0.1,,,,,
0.2199999,0.2149999,0.2149999,0.2149999,,,,,
0.155,0.155,0.155,0.12,,,,,
0.13,0.12,0.105,0.09500001,,,,,
0.2,0.2,0.2,0.2449999,,,,,
0.175,0.175,0.175,0.11,,,,,
0.2599999,0.15,0.09,,,,,,
0.105,0.2199999,0.16,0.105,0.09000001,,,,
0.115,0.16,0.16,0.2449999,,,,,
0.2249999,0.16,0.2799999,0.2099999,,,,,
0.2,0.3099999,0.19,0.165,,,,,
0.2249999,0.15,0.09500001,0.09500001,0.09500001,,,,
0.15,0.2149999,0.2149999,0.2149999,,,,,
0.19,0.19,0.18,0.135,,,,,
0.12,0.175,0.2149999,0.2549999,,,,,
0.185,0.185,0.16,0.17,0.125,0.07,,,
0.175,0.185,0.125,0.135,0.135,,,,
0.2099999,0.205,0.195,0.2,0.175,,,,
0.205,0.16,0.16,,,,,,
0.16,0.16,0.155,0.2199999,,,,,
0.16,0.09000001,0.145,0.175,,,,,
0.135,0.16,0.2,0.2449999,,,,,
0.13,0.19,0.19,0.19,,,,,
0.2199999,0.15,0.145,0.13,0.08500001,,,,
0.2849999,0.2399999,0.2249999,0.18,0.135,0.09000001,0.035,,
0.2,0.2999999,0.2849999,0.2499999,0.2,0.17,0.17,,
0.16,0.2549999,0.3249998,0.2849999,0.2449999,0.1,,,
0.2,0.2199999,0.2999999,0.3299998,,,,,
0.2099999,0.1999999,0.15,0.145,0.09,0.09,,,
0.04,0.175,0.14,0.105,0.08500001,0.08500001,0.04,0.035,0.035
0.2149999,0.2149999,0.2149999,0.2149999,0.2149999,0.145,,,
0.2649999,0.2449999,0.155,0.09000001,0.115,0.09000001,,,
0.3299998,0.2899999,0.2449999,0.15,0.1,0.05,,,
0.17,0.2899999,0.14,0.125,0.1,,,,
0.2199999,0.3249998,0.2249999,0.08500001,0.08500001,,,,
0.12,0.2549999,0.2849999,0.205,0.205,0.205,,,
0.04,0.19,0.175,0.16,0.14,0.04,0.04,,
